id_paciente,nombre_full_paciente,sexo,fecha_nac,tel
82b200cc-f679-42b5-9925-09ba1088aec8,Den Hambidge,F,19-05-1965,637-394-8677
38f14146-a1ce-4c33-b36f-7cedf36204b3,Eddie Brittlebank,M,06-12-1977,631-215-0887
5697b0b0-4854-49cd-b97d-1bc218546931,Kristofer Farrell,F,05-01-1974,219-319-5815
21a93c86-5fde-464e-b8dc-58778a068c4c,Joachim Riba,M,27-03-1981,991-265-8084
ca636b52-45a8-49b1-a4c3-7eea7861f3a1,Sybilla Lampitt,F,26-06-1980,444-377-8892
aee00eb0-3252-47b8-b1ce-8f3ce441bff8,Alaster Meeland,M,04-07-1995,320-496-9913
3448c695-6c36-46b1-96c9-47c2b04980ec,Cordula Bohl,F,08-05-1979,318-501-9734
21649b3b-2210-451a-a958-a71c721997c5,Porty Diplock,F,04-10-1989,819-435-3306
edc92e6d-55d9-4846-975c-316b579c3b96,Dee dee Canedo,M,07-02-1991,549-183-0916
2a7bcbe6-f320-4d36-8eb3-458b0c538f38,Sawyere Bilyard,F,24-04-1987,444-229-9635
8f4f22a4-559c-4a51-9953-89c3c5f68d61,Thornie Tarzey,F,29-10-2002,246-857-2531
74b91f69-8326-4f89-b75d-06b2a515aae6,Sheree Kenton,M,24-03-2009,793-954-7607
337c8ad6-a233-4d68-9a38-330c3f5451a5,Indira Romanet,F,01-08-1976,975-619-9036
3b78d90f-4095-45af-89e6-af00ca595a70,Kerrin Jarmaine,M,08-12-2006,856-229-3271
c2e7102b-d95d-49aa-be79-5aa78350f209,Luisa Itzchaki,M,24-07-2012,989-263-4838
9913781b-d9f0-49e5-8476-075f0a8d0509,Tana Giorgioni,M,22-05-1997,853-544-4590
11624dea-5ba0-4394-8b02-8cd891c51b1a,Rolfe Croker,F,18-09-1965,268-499-8075
380d1f7c-27df-4ac4-8576-ff7bf5df1674,Byram Saladine,F,03-09-1979,533-627-7578
18060252-d057-4f27-9b78-4406796ce6cd,Adore Minnette,M,09-04-2013,293-222-8940
3b80ae3b-caa4-47f8-9677-fba2e914ae06,Patrizio Karczinski,F,12-07-2002,397-129-3444
9c0462bf-e5ef-4447-bbcc-f137d2db48e4,Lorinda Bartrap,F,27-05-1971,281-152-7994
55d43dcd-37a2-4694-8941-78acef3cf157,Perry Keattch,M,20-11-1974,801-834-2601
88453795-b950-4bb7-918b-ff4924beb58c,Tarrah Venditti,F,19-05-2017,681-764-9849
5579101e-ab60-4993-af2a-a8b5f8c4ea99,Shandie Petrovsky,F,02-05-2000,530-693-6349
bb7e3c5a-31f4-4e2f-8abb-bb8483f439a9,Bartolomeo Haggeth,M,02-04-2015,993-800-4805
b5012180-283f-4225-953f-6299d12edfc8,Ruby Buddell,M,21-09-2003,525-520-6030
4c30255f-fa59-4492-b357-cf937c280c12,Christoffer Gwillim,F,30-09-2015,569-423-7017
b2ce3126-8f3b-480e-b981-4eceb3706088,Fiona Wherrit,M,13-05-2002,969-575-2239
0528ac30-a5da-49a7-a258-c31fe28af6db,Tara Jakel,F,24-06-2014,233-584-2745
99d9fa89-ae0c-44fd-b4b4-dfb2fd42562d,Delia McLinden,F,31-03-1968,314-708-4564
3a16a783-74f4-4a76-b47e-91346f419773,Jeni Kinnerley,F,08-11-1993,702-283-3970
d63776ac-4611-4389-8601-e924ed1a4020,Silvano Rainton,M,03-09-1983,125-298-1579
3d324668-1fff-4c15-b9ca-2d3be08df156,Phelia Lundie,F,01-10-1990,544-852-2845
021b8676-119e-4464-908d-760dedcdad88,Eldredge Yurikov,M,08-04-1980,955-704-5429
b128cdc6-1eec-4421-bd0b-8161a38ae588,Gertrudis Frier,M,04-07-2016,684-826-0274
8f094680-ef47-48a0-a836-c1eff79ff3e4,Brandy Bengtson,F,10-01-1989,721-142-6333
ab46863e-6fde-42cb-9840-c867c448d947,Lonnie Creffeild,F,23-11-1981,213-564-6380
6b1fa3a9-28c1-4897-8f9f-3f7abada858c,Hertha Riden,M,25-04-2018,644-955-7695
d3ff98d1-1c83-40d8-973d-3d46a3cde59f,Rutherford Vogeler,F,02-04-2010,662-414-5070
c171ebb3-1886-40e1-aba7-9748dc591b3c,Deva Pulford,F,04-08-1972,842-483-6519
92a6f224-20c1-44af-a2ea-2a93b7ce534b,Nettie Juschka,F,01-10-2007,880-129-9876
59eee33a-3e5f-40e2-a42a-3019ed802fc6,Tobey Lawson,M,11-08-2009,418-287-1610
ab6eaf6a-6f19-43b4-92b0-d4866125fe9f,Ruy Leighfield,M,23-07-1993,492-324-4700
13cc2cc6-eae1-4520-9580-3bc511f5beab,Esra Carslaw,M,05-03-2017,649-746-6652
1a1fb6be-d644-4175-99a8-993ccad94676,Harold Hinckley,M,03-08-1997,529-308-5706
6029d09b-808d-480d-a40f-659f252b9181,Claresta Balog,F,19-07-1967,948-110-5375
a98bef2a-6fa0-4a07-aa42-ec2d3e8fe132,Rossy Gianettini,M,05-11-1987,936-810-2929
a8dca4fa-7f65-4a54-8b66-b895403c2e33,Clyde Honisch,F,05-04-1991,264-271-7918
d7b5d907-79f0-466b-a547-2aa862f6464b,Catherin Josefer,M,11-09-2007,396-934-8505
b46bcd64-8dce-4ee2-9cc4-2fa311b35800,Franny McKennan,F,28-03-1992,702-783-0762
12a44e11-74c3-4e7f-96f3-f640bc8f4992,Welch Stive,F,17-06-1992,793-260-1338
db92698e-65b6-4027-98be-edf5b91ac064,Eyde Wimmers,M,28-01-2007,805-468-7591
49d3e2ac-a434-4197-b789-b0df2cfa11cd,Farrell Dilawey,M,07-09-1976,303-858-3970
5902ff66-f0f8-42ec-b433-5fa15d4dbc46,Audy Okie,F,20-03-2007,459-553-1931
6bd7baa0-5cfa-4f70-87a8-903663f3b566,Tyler Lace,F,10-02-2005,825-349-0263
871b3187-de01-44ca-93b1-323ea21594c0,Lena Passler,F,29-04-1978,612-945-9446
a8e9f82b-55df-4561-97ce-2fa2e4a39e40,Elka Wickes,M,11-12-2018,546-246-2976
acf589e8-c629-46a0-997f-64fe2a177789,Chickie Abadam,F,06-10-1975,217-759-3175
7c25d4f4-35d8-4cf2-862f-24d84ecef37a,Aldridge Dockery,F,06-05-2014,450-950-4088
fb9e260d-4816-4ea1-a131-1d655bb98f0c,Donavon Kidner,M,10-07-2020,896-568-9239
075635ab-3d64-4a27-856c-a316491548cb,Jabez Roff,F,02-10-2005,236-643-2835
2629ce73-3006-4c18-9c14-d9f85b8ee560,Randie Lefort,F,06-12-1999,538-381-2698
548ba509-a028-43ef-b2f5-d73999c6b007,Leontine Paprotny,M,23-05-1967,212-551-4953
5874dbb7-43ff-445a-890c-7347f53c36e4,Vassili Welldrake,M,11-03-1989,835-755-2684
3efef438-dade-421b-8d10-5786fc98a861,Ariel Stigell,F,12-04-2006,364-716-8193
c1048c1f-f7ce-4b3c-8f99-adefad70fb27,Joanna Legrave,M,10-05-2003,255-995-3762
8eba9788-8e7b-4f56-96e2-5ba5dca47d25,Maurice Bretland,F,27-07-1975,196-797-7261
77c1d6fa-698d-4423-9da3-1b1e2f9d52dd,Lorin Winson,F,04-07-1978,636-930-1796
2e1fbd70-31e4-419d-a6ec-0bb85fbb70f9,Candy Fair,F,18-06-1997,568-242-2310
6c1ee727-cbaa-4e56-8f90-d8d2ecec8045,Nata Cawson,F,22-04-1993,238-895-7897
9e785e65-9f8a-4be8-b826-b51b5b5bfb44,Pierette Grunguer,M,20-05-1970,867-988-1506
e0fdd359-54d2-4d10-9493-32111e4043e3,Lari Jandl,M,20-07-2020,547-551-7669
73434a1d-3565-4b77-9fe2-f1176cdc386e,Ferd Oxenham,F,21-10-2011,781-853-4133
b63cc36e-e185-4e66-bfd0-af89ae1fdc11,Lauralee Brickham,F,11-02-1982,314-373-4229
