id_paciente,nombre_full_paciente,sexo,fecha_nac,tel
f9994715-130a-4d17-b8ec-f0450b147914,Curr Sottell,M,14-07-1966,286-398-6715
3c0a07e3-4b92-440f-9e24-b773cea2781e,Suzette Bernardelli,F,06-11-2009,371-719-2071
7e951e65-a31d-47b3-8f6d-9c7c8e06382f,Guinevere Kynoch,F,14-01-1985,406-881-4885
61734c5c-d530-4370-bd04-0af06e1f239f,Nadine Konerding,F,21-09-1975,895-533-7253
e90e9593-3b0e-4e88-86c7-3569205494ed,Hermon Sloey,F,04-11-1989,965-413-2784
80b83624-0240-4fce-9fa0-e34fa2a92dfa,Elke Northover,F,04-01-1979,682-448-0049
84812ff9-bd9f-408a-a82a-7a30aadb50b1,Vernen Barnwill,F,22-05-1970,144-767-2633
a240ad2d-fdfd-4630-89bf-197ab571e537,Tina Wetheril,F,01-02-2010,664-331-6691
ae6f6d1c-f4b2-4f59-bf85-1de3919d2a45,Gertrude Schneidar,M,16-06-1977,346-369-7415
06f02c90-5bb8-4396-a371-c5a3893351cf,Frederico Gribbell,F,19-01-1985,235-882-0412
4ee1846f-5bc1-4e54-8271-8adb5597cc46,Dniren Sames,M,04-11-2002,655-873-7346
3fafdd15-e204-49a5-891b-8b302e0d10ec,Claudette Ricson,F,29-07-1971,875-194-9383
478fb646-4baf-48fd-b17d-6f69ab1a1d3e,Jinny Liston,F,05-02-1972,838-646-9321
bf7d1abb-5202-4e8c-875f-ce5b0e62e6e4,Gerianna Tomes,F,24-02-2020,894-556-1144
c6eb5d8e-3296-4b70-9d4a-b140b66cc9b7,Wylie Amsberger,F,04-02-2008,201-394-8865
