id_medico,nombre_full_medico,especialidad,tel
1,Bobbye Bogart,Otorrinoralingologo,3464849340
2,Husein Greenin,Partos,9032004269
3,Fabien Hobbing,Partos,9595515623
4,Pietro Dundon,Partos,4286408461
5,Laney Dusey,Otorrinoralingologo,9759058834
6,Salim Linguard,Partos,7718342788
7,Sarena Rupke,Partos,8445086803
8,Emili Kennifick,Partos,3252090788
9,Hallie Swindell,Otorrinoralingologo,9899630225
10,Edita Stanford,Otorrinoralingologo,6611565698
11,Mamie Howen,General,6119862974
12,Ferdinand Braisted,Otorrinoralingologo,8391801975
13,Stuart Akhurst,General,7662369845
14,Eolande McCartney,Partos,3044485616
15,Jackqueline Snowsill,Partos,7414158114
16,Hyacinthia Millwater,General,6816345283
17,Charo Kees,Cirujano,2819225119
18,Harmonia Le Marchand,General,5404819732
19,Koo Berthomieu,Otorrinoralingologo,7589049171
20,Coralie Capner,Cirujano,3967492501
21,Dayna Hallibone,Partos,8504943549
22,Vivien Greatex,General,7219997498
23,Son Denver,Cirujano,6394520133
24,Batsheva Hickenbottom,Partos,4931942348
25,Alyce Whitewood,General,2066204819
26,Fletch Robshaw,Otorrinoralingologo,7768037749
27,Early Schach,Cirujano,5178477332
28,Alford Janowicz,Cirujano,3485810300
29,Ailsun Scarlan,Cirujano,5922903349
30,Karlis McGahy,Cirujano,9404366321
